Grade,Greater_Risk_Data_Value_Avg,Lesser_Risk_Data_Value_Avg,Greater_Risk_Data_Value_Sum,Lesser_Risk_Data_Value_Sum
Total,29.26,70.74,26818850.32,64828649.68
12th,29.13,70.87,11425862.06,27802137.94
11th,27.85,72.15,11979150.78,31041349.22
10th,26.85,73.15,12100630.08,32958669.92
9th,25.5,74.5,11077969.31,32364330.69
