Race,Greater_Risk_Data_Value_Avg,Lesser_Risk_Data_Value_Avg,Greater_Risk_Data_Value_Sum,Lesser_Risk_Data_Value_Sum
Total,30.01,,,
Native Hawaiian or Other Pacific Islander,29.35,,,
Hispanic or Latino,28.33,,,
Black or African American,27.74,,,
White,27,,,
Multiple Races,26.37,,,
American Indian or Alaska Native,26.22,,,
Asian,21.91,,,
